OBJECTID,GMI_CNTRY,ZONE_CODE,COUNT,AREA,SUM
52,CYP,52,88,0.8800001,53735.2695313
53,DNK,53,602,6.0200000,656.1492920
54,DJI,54,178,1.7800001,114306.7500000
55,DMA,55,5,0.0500000,13962.3750000
56,DOM,56,417,4.1700001,1769395.3750000
57,ECU,57,2068,20.6800003,2680877.5000000
58,EGY,58,9048,90.4800034,13930778.0000000
59,IRL,59,941,9.4099998,223375.9531250
60,GNQ,60,223,2.2300000,114712.1796875
61,EST,61,701,7.0100002,146.5792694
62,ERI,62,1017,10.1700001,876200.6250000
63,SLV,63,169,1.6900001,1254219.8750000
64,ETH,64,9279,92.7900009,15224043.0000000
65,CZE,65,979,9.7900000,0.0000000
66,GUF,66,681,6.8100004,44501.2851563
67,FIN,67,6260,62.6000023,30285.4394531
68,FJI,68,119,1.1900001,132569.7968750
69,FLK,69,142,1.4200001,402.4960632
70,FSM,70,4,0.0400000,9514.7773438
71,FRO,71,28,0.2800000,659.4105835
72,PYF,72,17,0.1700000,41369.0898438
73,FRA,73,6435,64.3499985,585738.2500000
74,ATF,74,89,0.8900000,0.0000000
75,GMB,75,89,0.8900000,323529.8437500
76,GAB,76,2130,21.3000011,215158.5781250
77,GEO,77,754,7.5400004,19984.5878906
78,GHA,78,1958,19.5799999,4596576.5000000
79,GRD,79,3,0.0300000,18192.0625000
80,XGK,80,2,0.0200000,0.0000000
81,GRL,81,66089,660.8900146,1149.0037842
82,DEU,82,4594,45.9400024,0.0000000
