GMI_CNTRY,pjanMN,poctMN,pnovMN,pdecMN,pfebMN,pmarMN,paprMN,pmayMN,pjunMN,pjulMN,paugMN,psepMN,tjanMN,toctMN,tnovMN,tdecMN,tfebMN,tmarMN,taprMN,tmayMN,tjunMN,tjulMN,taugMN,tsepMN
HTI,48.52913448,203.3687428,117.4772216,57.35995377,50.31561341,59.14199258,120.470683,225.3216045,164.1241713,129.0739919,166.454656,186.55465,219.6615169,245.6575938,235.1253269,223.7685056,223.3091965,231.4309653,238.2206983,243.4929445,249.6026093,252.4266164,253.6013929,250.2129128
HND,76.38624405,207.6324905,143.4540974,104.2801657,53.06184322,37.90470438,52.22653367,148.6424358,243.1724422,212.3639227,209.659199,238.8444323,214.9047414,236.2060947,224.9001097,214.9785235,221.3666276,238.8897864,250.5348456,254.5533949,247.2406439,242.351932,242.4511998,242.1160237
JAM,80.07789841,295.8274239,173.8859616,112.3062789,74.9383494,71.21463822,123.9022094,222.01807,173.113431,127.9094981,180.1702984,212.7617493,223.6620606,244.5613849,238.7130818,229.8501253,224.1050793,228.4085491,236.0132868,242.4039936,247.4303394,249.5055045,251.90965,249.8377496
MTQ,142.6266359,274.1231717,303.4441878,184.1339492,104.6635874,90.59584296,114.8090839,157.7636644,197.1978445,251.8237105,263.7405697,258.9430331,232.4503464,253.4049269,248.7844496,239.1154734,232.5311778,237.2971517,245.4010778,252.9022325,255.9591994,254.6543495,258.1247113,256.9838337
MSR,128.8434783,191.6956522,189.5826087,151.4,84.40869565,98.56521739,100.7304348,122.826087,134.8347826,174.8086957,210.226087,201.3826087,231.8695652,257.2347826,249.4,239.9826087,232.8173913,238.2347826,246.626087,256.6956522,261.0086957,259.8608696,262.3043478,261.8
MEX,26.41654255,70.72874547,29.9910585,28.54470268,18.05761119,14.79550526,17.96725724,41.55451505,104.2698753,137.4723543,138.4706306,140.1009807,146.9972556,209.5537511,177.3572124,153.2167627,160.7789855,182.416956,211.1144737,231.8360266,246.0393008,245.5489505,243.5893773,233.3997431
SUR,197.0298035,58.87425829,85.84205543,156.3174534,163.0628473,188.82142,249.4351738,360.4379495,312.0434115,244.1468241,158.3537904,76.12208978,254.6880921,274.9174111,270.0666228,261.2176104,255.1720171,258.0879051,261.2218151,260.2595224,258.9577764,261.5522297,267.3066152,273.2121061
ANT,59.37575758,64.18545455,101.849697,95.47272727,26.67878788,15.87515152,18.32,17.76969697,23.94787879,29.79515152,31.93939394,38.66909091,260.8872727,282.1987879,274.52,266.2254545,261.3830303,263.6145455,271.3878788,276.7987879,279.1733333,278.1321212,281.2981818,285.4618182
NIC,117.1835946,288.6470219,180.6010515,130.8382772,49.41711729,36.20621082,47.83481583,184.0124086,324.4472701,329.5458921,299.450627,302.3627808,237.3260711,252.0049177,244.293972,237.9245102,242.9373433,252.8225967,261.267999,264.2646617,255.3378331,253.6663467,252.1595938,253.3475444
PRY,126.9219708,106.7712711,122.6420461,117.7997278,112.58788,109.2207548,107.8132955,82.69726537,55.07831326,41.02506632,38.39850103,59.84345236,276.5584963,246.1075333,259.6758715,271.6294252,270.2752285,256.9618946,229.573269,203.205702,183.1973886,184.9659675,203.4201927,222.606347
PER,179.5440542,127.7725676,145.53996,157.3301415,172.1570697,191.8973549,147.7809538,107.9083098,84.64803165,74.28985736,75.48646958,97.74722815,199.6566209,195.5686273,197.3919411,198.7380155,199.6577939,198.3327343,195.7652082,188.7195074,179.5203428,176.3899912,182.7854906,189.8744829
PAN,56.66578987,403.7750843,320.5469009,148.0364547,36.3607226,42.55800183,116.5820693,278.8634399,297.4235623,261.1691561,291.0320398,313.0547863,246.5917218,245.4966801,244.3779766,244.5265994,250.7464049,257.4163895,260.1594456,256.3716613,250.7520829,251.4404454,249.695431,246.7907855
